Author	submission_status_viewed	user_enrolment_deleted	group_created	course_module_deleted	entry_created	assessable_uploaded	discussion_moved	user_graded	course_updated	course_section_updated	submission_viewed	role_unassigned	subscription_created	user_profile_viewed	user_deleted	course_module_instance_list_viewed	phase_switched	message_contact_unblocked	user_loggedin	tag_flagged	course_module_updated	message_contact_added	submission_created	grade_deleted	message_viewed	grading_table_viewed	course_module_viewed	discussion_created	tag_added	course_viewed	user_enrolment_created	user_report_viewed	blog_entries_viewed	subscription_deleted	blog_entry_updated	submission_reassessed	course_searched	email_failed	blog_comment_created	report_viewed	user_password_updated	discussion_viewed	tag_deleted	calendar_event_created	assessable_submitted	message_sent	submission_updated	discussion_deleted	user_created	discussion_subscription_deleted	user_loggedout	assessment_reevaluated	post_updated	group_member_added	user_loggedinas	grade_report_viewed	group_member_removed	user_login_failed	response_submitted	calendar_event_updated	discussion_subscription_created	tag_created	calendar_event_deleted	blog_association_created	post_deleted	group_updated	post_created	blog_entry_created	message_contact_removed	notes_viewed	role_assigned	course_created	course_module_created	assessment_evaluated	submission_assessed	folder_updated	role_capabilities_updated	tag_removed	submission_confirmation_form_viewed	blog_entry_deleted	user_list_viewed	activity_report_viewed	message_contact_blocked	blog_comment_deleted	langpack_updated	submission_form_viewed	user_updated	ActionCount	Time
24	0	0	0	0	0	48	0	0	0	0	76	0	0	31	0	0	14	0	89	0	0	0	14	0	27	0	684	3	0	496	1	0	89	0	9	41	0	0	0	0	1	181	0	0	0	75	23	0	0	2	2	0	1	0	0	18	0	18	0	0	25	0	0	7	1	0	26	2	0	0	1	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	5	2023	44253
25	1	0	0	0	0	33	0	0	0	0	103	0	0	24	0	0	0	0	143	0	0	0	13	0	32	0	390	10	0	273	1	5	89	0	3	0	0	0	0	0	1	100	0	0	0	223	15	1	0	1	7	0	0	0	0	1	0	2	0	0	13	0	0	4	0	0	12	3	0	0	1	0	0	0	2	0	0	0	0	2	10	0	0	0	0	0	3	1521	25747
26	0	0	0	0	0	8	0	0	0	0	24	0	0	10	0	0	0	0	33	0	0	0	7	0	0	0	65	0	0	96	1	0	54	0	1	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	345	7231
27	0	0	0	0	0	16	0	0	0	0	80	0	0	16	0	0	0	0	99	0	0	0	9	0	2	0	269	2	0	149	1	0	299	0	9	0	0	0	0	0	1	55	0	0	0	1	13	0	0	0	8	0	1	0	0	0	0	1	0	0	1	0	0	10	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	1049	36142
28	0	0	0	0	0	20	0	103	0	0	134	0	0	6	0	0	0	0	68	0	0	0	12	0	19	0	378	3	0	199	1	0	50	0	2	0	0	0	0	0	1	59	0	0	0	45	15	0	0	0	3	0	0	0	0	22	0	4	0	0	3	0	0	3	0	0	5	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1161	16113
29	1	0	0	0	0	13	0	0	0	0	123	0	2	28	0	0	0	0	136	0	0	0	11	0	6	0	392	2	0	302	1	6	109	2	5	2	0	0	0	0	1	57	0	0	0	41	11	0	0	0	0	0	0	0	0	31	0	4	0	0	2	0	0	5	0	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	2	1335	29295
30	0	0	0	0	0	13	0	0	0	0	41	0	0	6	0	0	0	0	72	0	0	0	11	0	3	0	156	2	0	207	1	0	22	0	1	0	0	0	0	0	1	25	0	0	0	2	11	0	0	0	9	0	0	0	0	5	0	5	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	603	12660
31	5	0	0	0	0	52	0	0	0	0	236	0	0	20	0	0	0	0	168	0	0	0	20	0	5	0	487	5	0	463	1	1	58	0	1	0	0	0	0	0	1	125	0	0	1	2	23	1	0	3	0	0	12	0	0	2	0	1	0	0	7	0	0	2	0	0	11	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4	1722	28134
32	1	0	0	0	0	19	0	0	0	0	98	0	0	7	0	0	0	0	70	0	0	0	9	0	10	0	217	5	0	159	1	1	78	0	1	0	0	0	0	0	1	44	0	0	0	31	11	0	0	0	1	0	0	0	0	10	0	23	0	0	4	0	0	0	0	0	3	1	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	810	14979
33	0	0	0	0	0	16	0	0	0	0	79	0	0	7	0	0	0	0	98	0	0	0	10	0	13	0	175	5	0	259	1	0	91	0	10	0	0	0	1	0	1	30	0	0	0	4	10	1	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	11	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	842	13825
34	0	0	0	0	0	40	0	0	0	0	142	0	0	7	0	0	0	0	83	0	0	0	17	0	4	0	253	4	0	236	1	0	44	0	2	0	0	0	0	0	1	90	0	0	0	4	19	0	0	0	0	0	2	0	0	1	0	16	0	0	3	0	0	3	0	0	15	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	993	16217
35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	920
36	3	0	0	0	0	11	0	0	0	0	79	0	0	16	0	0	0	0	77	0	0	0	8	0	2	0	246	1	0	363	1	2	309	0	4	0	1	0	0	0	1	44	0	0	0	1	10	0	0	0	2	0	0	0	0	3	0	17	0	0	1	0	0	6	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1215	21350
37	0	0	0	2	0	55	0	7208	0	0	100	0	0	32	0	0	173	0	188	0	22	0	16	0	40	0	1320	4	0	755	1	0	72	0	3	160	0	0	3	0	1	140	0	10	0	87	25	4	0	0	8	206	0	0	0	10	0	12	0	25	33	0	8	4	0	0	31	1	0	0	1	0	6	1551	239	0	0	0	0	0	1	0	0	0	0	0	0	12557	87480
38	0	0	0	0	0	14	0	0	0	0	53	0	0	16	0	0	0	0	91	0	0	0	11	0	0	0	185	1	0	115	1	0	82	0	9	0	0	0	2	0	1	32	0	0	0	10	13	0	0	0	1	0	0	0	0	2	0	4	0	0	1	0	0	10	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	663	15963
39	1	0	0	0	0	20	0	0	0	0	119	0	0	6	0	0	0	0	123	0	0	0	18	0	13	0	337	5	3	296	1	4	138	0	4	2	0	0	1	0	1	60	0	0	0	63	18	0	0	1	0	0	1	0	0	1	0	2	0	0	8	1	0	4	0	0	4	3	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1263	23803
40	0	0	0	0	0	16	0	0	0	0	120	0	0	7	0	0	0	0	114	0	0	0	15	0	3	0	206	2	0	286	1	3	132	0	2	0	1	0	0	0	1	65	0	0	0	2	15	0	0	0	0	0	1	0	0	21	0	5	0	0	2	0	0	2	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	1030	19359
41	0	0	0	0	0	17	0	0	0	0	81	0	0	15	0	0	0	0	62	0	0	0	11	0	5	0	308	4	0	226	1	0	126	0	8	0	0	0	0	0	1	32	0	0	0	52	13	0	0	1	5	0	0	0	0	0	0	12	0	0	3	0	0	3	0	0	3	2	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	995	17757
42	0	0	0	0	0	24	0	0	0	0	68	0	0	104	0	0	0	0	94	0	0	0	9	0	6	0	187	3	0	254	1	0	99	0	3	0	0	0	0	0	1	48	0	0	0	30	13	0	0	1	3	0	2	0	0	0	0	1	0	0	3	0	0	3	0	0	7	2	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	971	13773
43	7	0	0	0	0	17	0	0	0	0	70	0	0	21	0	0	0	0	83	0	0	0	12	0	16	0	169	4	0	190	1	0	93	0	3	0	0	0	2	0	1	18	0	0	0	29	13	1	0	0	1	0	0	0	0	5	0	4	0	0	4	0	0	4	0	0	2	3	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	5	784	15266
44	0	0	0	0	0	10	0	0	0	0	33	0	0	0	0	0	0	0	54	0	0	0	9	0	1	0	116	1	0	140	1	0	8	0	1	0	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	26	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	422	5462
45	0	0	0	0	0	17	0	0	0	0	59	0	0	4	0	0	0	0	55	0	0	0	10	0	1	0	141	3	0	157	1	0	24	0	1	1	0	0	0	0	1	3	0	0	0	21	14	0	0	0	9	0	0	0	0	8	0	5	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	542	10100
46	1	0	0	0	0	24	0	0	0	0	185	0	0	11	0	0	0	0	83	0	0	0	10	0	3	0	266	1	0	291	1	2	121	0	2	3	0	0	0	0	1	17	0	0	0	16	21	0	0	0	4	0	0	0	0	12	0	1	0	0	2	0	0	3	0	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	3	1092	28019
47	2	0	0	0	0	21	0	0	0	0	94	0	0	130	0	0	0	0	104	0	0	0	17	0	4	0	293	4	0	281	1	5	233	0	13	1	0	0	0	0	2	162	0	0	0	2	18	1	0	0	2	0	1	0	0	8	0	16	0	0	2	0	0	15	0	0	2	2	0	0	1	0	0	0	2	0	0	0	0	1	3	0	0	0	0	1	3	1447	28082
48	2	0	0	0	0	15	0	0	0	0	59	0	0	15	0	0	0	0	80	0	0	0	9	0	6	0	206	2	0	228	1	0	120	0	2	0	0	0	4	0	1	42	0	0	0	6	11	0	0	1	2	0	1	0	0	10	0	0	0	0	5	0	0	3	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	21	0	0	0	0	0	3	860	18199
49	0	0	0	0	0	16	0	0	0	0	79	0	0	5	0	0	0	0	77	0	0	0	9	0	6	0	235	5	0	190	1	0	185	0	3	0	0	0	0	0	1	38	0	0	0	39	10	0	0	0	19	0	1	0	0	1	0	7	0	0	4	0	0	4	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	941	14848
50	2	0	0	0	0	11	0	0	0	0	77	0	0	7	0	0	0	0	55	0	0	0	15	0	3	0	190	1	0	129	1	0	77	0	6	0	0	0	0	0	1	8	0	0	1	1	14	0	0	1	8	0	1	0	0	2	0	8	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	628	11945
51	0	0	0	0	0	8	0	0	0	0	34	0	0	7	0	0	0	0	39	0	0	0	9	0	0	0	119	0	0	158	1	0	34	0	1	0	0	0	0	0	1	2	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	437	7033
52	0	0	0	0	0	9	0	0	0	0	55	0	0	16	0	0	0	0	50	0	0	0	8	0	0	0	121	0	0	131	1	0	123	0	1	0	0	0	0	0	1	2	0	0	0	0	9	0	0	0	2	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	2	550	7767
53	0	0	0	0	0	19	0	0	0	0	124	0	0	13	0	0	0	0	107	0	0	0	9	0	3	0	262	2	0	338	1	1	195	0	5	0	0	0	0	0	1	101	0	0	0	1	17	0	0	1	5	0	0	0	0	7	0	5	0	0	3	0	0	6	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1231	26831
54	0	0	0	0	0	12	0	0	0	0	36	0	0	2	0	0	0	0	43	0	0	0	21	0	1	0	85	1	0	98	1	3	36	0	2	0	0	0	0	0	1	0	0	0	0	1	21	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	373	7408
55	1	0	0	0	0	13	0	0	0	0	30	0	0	5	0	0	0	0	94	0	0	0	17	0	3	0	253	2	0	116	1	0	72	0	2	0	0	0	0	0	1	13	0	0	0	4	18	0	0	0	2	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	660	12261
56	3	0	0	0	0	25	0	0	0	0	46	0	3	13	0	0	0	0	82	0	0	2	7	0	2	0	408	1	3	197	1	0	490	2	2	0	0	0	0	0	1	104	0	0	0	97	9	0	0	2	3	0	4	0	0	8	0	4	0	0	8	1	0	3	0	0	11	1	0	0	1	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	2	1561	31089
57	0	0	0	0	0	6	0	0	0	0	13	0	0	3	0	0	0	0	26	0	0	0	11	0	0	0	76	0	0	97	1	0	43	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	299	4748
58	0	0	0	0	0	9	0	0	0	0	14	0	0	7	0	0	0	0	60	0	0	0	8	0	1	0	86	0	0	121	1	0	59	0	1	0	0	0	0	0	1	2	0	0	0	0	9	0	0	0	4	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	399	6258
59	0	0	0	0	0	28	0	0	0	0	73	0	0	15	0	0	0	0	140	0	0	0	11	0	10	0	346	3	0	433	1	0	142	0	2	0	0	0	1	0	1	107	0	0	0	62	18	0	0	1	1	0	1	0	0	22	0	4	0	0	5	0	0	3	0	0	6	1	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	2	1445	28885
60	2	0	0	0	0	22	0	0	0	0	264	0	7	174	0	0	0	2	288	0	0	246	8	0	105	0	915	4	0	1094	1	2	969	5	20	0	2	0	1	0	1	280	0	0	0	59	11	0	0	3	10	0	2	0	0	71	0	10	0	0	7	0	0	19	0	0	5	4	7	0	1	0	0	0	2	0	0	0	0	3	39	0	0	0	0	0	3	4668	90104
61	3	0	0	0	0	26	0	0	0	0	223	0	0	18	0	0	0	0	156	0	0	0	14	0	11	0	565	5	0	626	1	0	363	0	23	0	0	0	0	0	1	394	0	0	1	38	16	0	0	3	17	0	4	0	0	9	0	2	0	0	8	0	0	24	0	0	3	1	0	0	1	0	0	0	2	0	0	0	0	0	10	0	0	0	0	1	3	2572	52935
62	1	0	0	0	0	13	0	0	0	0	56	0	0	8	0	0	0	0	52	0	0	0	12	0	1	0	147	0	0	153	1	0	47	0	1	0	6	0	0	0	1	5	0	0	0	0	14	0	0	0	0	0	0	0	0	17	0	2	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	543	10902
63	0	0	0	0	0	5	0	0	0	0	14	0	0	6	0	0	0	0	21	0	0	0	4	0	0	0	41	0	0	63	1	0	189	0	4	0	0	0	0	0	1	1	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	371	5672
64	0	0	0	0	0	45	0	0	0	0	26	0	0	33	0	0	21	0	134	0	0	0	12	0	31	0	595	2	0	188	1	5	41	0	1	69	0	0	0	0	1	140	0	0	0	248	12	0	0	0	1	18	0	0	0	0	0	39	0	0	27	0	0	0	0	0	32	1	0	1	1	0	0	102	21	0	0	0	0	0	8	0	0	0	0	0	1	1857	41957
65	0	0	0	0	0	19	0	0	0	0	73	0	0	17	0	0	0	0	65	0	0	0	11	0	6	0	136	3	0	215	1	3	344	0	1	0	0	0	0	0	1	10	0	0	0	3	15	0	0	0	5	0	1	0	0	3	0	6	0	0	3	0	0	2	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	949	11048
66	1	0	0	0	0	7	0	0	0	0	33	0	0	9	0	0	0	0	30	0	0	0	12	0	0	0	94	0	0	117	1	1	61	0	9	0	0	0	0	0	1	4	0	0	0	0	12	0	0	0	0	0	0	0	0	5	0	11	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	413	8091
67	0	0	0	0	0	10	0	0	0	0	44	0	0	7	0	0	0	0	29	0	0	0	9	0	1	0	93	1	0	120	1	0	66	0	1	0	0	0	0	0	0	68	0	0	0	1	9	0	0	0	2	0	0	0	0	1	0	14	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	7820
68	1	0	0	0	0	31	0	0	0	0	119	0	0	34	0	0	0	0	121	0	0	0	13	0	2	0	496	2	4	468	1	13	198	0	3	4	7	0	0	0	1	153	0	0	0	141	19	1	0	0	0	0	0	0	0	3	0	5	0	0	2	1	0	0	1	0	13	1	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	3	1866	32020
69	0	0	0	0	0	18	0	0	0	0	170	0	1	38	0	0	1	0	193	0	0	0	15	0	4	0	395	3	0	671	1	2	84	0	3	0	0	0	0	0	1	72	0	0	0	5	16	0	0	5	0	0	1	0	0	46	0	2	0	0	7	0	0	4	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	4	1769	25372
70	1	0	0	0	0	16	0	0	0	0	42	0	0	5	0	0	0	0	117	0	0	0	14	0	3	0	279	2	0	364	1	0	162	0	1	0	0	0	0	0	1	10	0	0	0	2	17	0	0	0	4	0	0	0	0	17	0	2	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1070	21371
71	1	0	0	0	0	12	0	0	0	0	68	0	2	8	0	0	0	0	112	0	0	0	16	0	36	0	257	1	0	302	1	2	142	1	19	0	0	0	0	0	1	19	0	0	0	1	17	0	0	0	2	0	0	0	0	8	0	1	0	0	1	0	0	20	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1053	16152
72	1	0	0	0	0	10	0	0	0	0	30	0	0	12	0	0	0	0	46	0	0	0	9	0	2	0	142	1	0	105	1	0	93	0	1	1	0	0	0	0	1	5	0	0	0	1	10	0	0	0	4	0	0	0	0	5	0	7	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	497	9902
